"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,86,181,179,152
2,191,65,75,181
3,165,132,196,60
4,189,166,150,65
5,102,180,139,188
6,146,152,52,82
7,143,182,199,198
8,84,167,180,191
9,196,59,144,52
10,102,159,162,128
11,58,151,101,174
12,149,59,148,65
13,127,144,72,159
14,141,109,86,90
15,84,178,119,125
16,53,109,162,130
17,159,116,74,95
18,143,138,166,121
19,144,178,50,172
20,160,87,65,176
21,186,70,132,200
22,84,133,120,128
23,190,122,177,152
24,161,145,102,171
25,160,104,137,199
26,71,168,174,117
27,156,50,152,51
28,105,147,56,151
29,113,136,144,50
30,159,190,199,134
