"y"	"x1"	"x2"
"1"	165.719590931404	122.260542711355	30.5242301979119
"2"	164.549818169479	121.133917944816	31.2523976485436
"3"	166.004939250016	122.631594412724	32.430600357218
"4"	166.491912217695	121.506687323559	32.7196893685143
"5"	164.818625505803	119.338605495053	29.6888077109466
"6"	165.730184312679	121.511228942444	32.3072482890587
"7"	163.241597163438	119.495410333283	30.7698034031557
"8"	163.692170136859	120.447722938698	31.2212337856328
"9"	165.68791500603	120.650797094872	30.7877529627913
"10"	166.115100793234	121.826373164948	31.7521740327994
"11"	165.342249415864	122.299189847747	31.5507092143027
"12"	165.548477420068	121.354643748308	31.015670119955
"13"	165.983630557879	122.609968885747	32.5383158690322
"14"	165.06043370384	121.39743900161	31.2212042011943
"15"	166.792573176638	121.858675518002	31.4140684788395
"16"	164.944177478419	121.105943845603	30.9074790051259
"17"	165.738661282311	121.350219635265	30.4655584021355
"18"	164.453482028393	119.992133873684	30.1765314876592
"19"	165.447558096443	121.645449754273	31.4911800494208
"20"	165.670650983039	121.526000338041	31.5669035955397
"21"	165.515225423481	121.457029676501	31.8824955854352
"22"	164.661368532055	121.280002500943	31.0939580337216
"23"	164.802977073542	121.63059079528	31.7648639433913
"24"	164.500691101524	120.724219968954	30.8337993115104
"25"	165.368761868018	121.01293051724	30.389963626565
"26"	164.329069898093	121.230914684244	31.4334719874048
"27"	165.495574870085	121.338700351404	30.6347126419672
"28"	165.594797424854	121.148363964005	32.3732710621418
"29"	164.917118452012	121.048162558234	31.6591804435483
"30"	165.495258182999	121.73306102948	32.4507101347467
"31"	165.792920162826	122.351867358651	31.7969184189203
"32"	165.714929722377	122.100350611021	31.6864213952292
"33"	163.547689852414	121.073918872514	30.5328531485328
"34"	166.730456364428	122.495392060494	31.9873367188331
"35"	164.975800433018	121.50828245205	32.924836077813
"36"	164.830241063164	120.3570638649	30.5167458598769
"37"	164.837160336162	121.839713314084	30.7736463784311
"38"	163.284868347375	120.07698943824	29.4569716996165
"39"	166.293583246672	120.899544503132	31.4737487675211
"40"	164.628722633252	122.018884947319	31.2533872559488
