"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,177,90,119,156
2,192,183,144,194
3,162,108,58,172
4,166,97,184,59
5,70,170,62,55
6,109,63,100,154
7,151,113,112,64
8,133,134,150,168
9,68,148,66,200
10,133,85,118,54
11,176,162,122,113
12,116,75,60,106
13,171,127,68,95
14,138,93,72,52
15,155,89,200,197
16,161,76,105,104
17,189,53,53,175
18,60,175,167,105
19,155,147,108,129
20,96,53,92,119
21,65,177,139,146
22,182,96,135,117
23,79,188,69,116
24,96,172,51,52
25,53,195,64,122
26,110,171,116,117
27,93,78,131,138
28,94,152,121,193
29,132,70,136,153
30,51,88,63,123
