"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,85,54,169,92
2,91,142,97,101
3,86,51,103,182
4,40,157,183,134
5,128,101,107,127
6,88,109,98,137
7,50,84,91,186
8,40,59,73,87
9,127,91,148,121
10,58,68,74,125
11,52,55,53,130
12,65,176,120,57
13,90,176,71,164
14,91,120,72,53
15,43,58,163,51
16,91,155,143,162
17,52,135,84,148
18,125,70,107,103
19,116,134,73,160
20,85,72,87,110
21,40,112,50,178
22,126,107,66,131
23,34,56,74,55
24,92,50,63,157
25,88,74,169,93
26,168,85,55,98
27,47,55,85,60
28,120,89,64,100
29,104,103,156,55
30,61,70,123,50
