"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,61,142,46,102
2,76,103,56,95
3,170,190,99,0
4,145,89,195,109
5,112,152,136,172
6,75,96,123,79
7,64,172,42,93
8,73,124,79,98
9,158,174,87,79
10,63,155,72,115
11,173,95,60,55
12,128,117,51,64
13,170,195,60,193
14,74,107,98,80
15,170,102,35,67
16,148,104,49,92
17,104,51,193,101
18,142,151,114,50
19,152,87,105,122
20,162,100,55,139
21,186,94,110,73
22,57,49,103,99
23,103,142,61,137
24,148,169,69,91
25,128,83,63,172
26,111,175,58,128
27,64,107,100,170
28,162,180,53,153
29,102,118,179,53
30,170,128,46,174
