"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,62,143,114,103
2,77,104,57,96
3,171,191,100,124
4,146,90,196,160
5,113,153,153,173
6,76,131,178,79
7,65,187,54,163
8,74,135,104,99
9,175,175,159,80
10,64,156,115,198
11,174,96,61,56
12,170,118,52,87
13,174,196,61,194
14,74,108,161,81
15,171,103,82,68
16,154,105,50,104
17,105,52,194,171
18,143,184,197,51
19,153,88,120,136
20,163,122,73,162
21,187,95,165,93
22,58,50,174,100
23,106,154,169,138
24,149,170,70,101
25,129,84,79,173
26,176,197,66,193
27,65,122,121,171
28,164,181,74,174
29,135,130,189,54
30,171,129,123,175
