"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,153,190,148,161
2,188,197,167,160
3,83,185,51,188
4,185,122,179,57
5,177,67,83,161
6,52,195,183,54
7,193,183,80,184
8,64,101,97,83
9,63,190,103,127
10,168,181,179,185
11,135,170,93,191
12,107,87,189,178
13,120,180,155,71
14,131,78,157,177
15,168,95,78,192
16,125,55,74,75
17,198,156,155,143
18,190,196,119,146
19,68,123,112,114
20,86,116,122,92
21,160,175,77,173
22,113,153,131,156
23,168,125,185,109
24,180,115,52,113
25,167,174,148,96
26,65,71,83,170
27,66,193,188,190
28,134,172,148,59
29,182,116,136,184
30,141,76,80,63
