"μΰγΰηθν 005 & ΟΠΘΑΫΛά";"υλεα_χ";"υλεα_χ_ν";"υλεα_α";"υλεα_α_ν";"ΘÒΞΓ";"ΡΠΕΔΝΕΕ";"ΜΕΔΘΐΝΐ"
"δενό 1";2525;4588;1883;2377;11373;2843;2451
"δενό 2";1221;5170;5448;1822;13661;3415;3496
"δενό 3";4856;-1073;3154;-1784;5153;1288;1040
"δενό 4";2303;-990;4597;4263;10173;2543;3283
"δενό 5";2321;2805;3155;-3715;4566;1142;2563
"δενό 6";3634;-3687;3524;4760;8231;2058;3579
"δενό 7";2044;2093;7187;5152;16476;4119;3622
"δενό 8";4930;1170;6188;2446;14734;3684;3688
"δενό 9";2616;1347;4347;2170;10480;2620;2393
"δενό 10";2732;2501;1859;-5040;2052;513;2180
"δενό 11";1543;2948;4597;1093;10181;2545;2246
"δενό 12";155;4023;5411;-1587;8002;2000;2089
"δενό 13";2269;5670;6854;3976;18769;4692;4823
"δενό 14";1970;670;3931;-727;5844;1461;1320
"δενό 15";2035;4278;3006;1449;10768;2692;2520
"δενό 16";6706;1428;2673;2528;13335;3334;2600
"δενό 17";2486;5300;2414;-1403;8797;2199;2450
"δενό 18";3881;978;3894;1550;10303;2576;2716
"δενό 19";3302;6077;2488;5337;17204;4301;4320
"δενό 20";2155;-1292;2303;4464;7630;1908;2229
"δενό 21";3418;3763;5300;6595;19076;4769;4532
"δενό 22";2414;2030;4333;-1538;7239;1810;2222
"δενό 23";-2619;2490;2747;1545;4163;1041;2018
"δενό 24";2456;1268;2646;-2339;4031;1008;1862
"δενό 25";1859;3697;2488;-379;7665;1916;2174
"δενό 26";2821;946;3827;1960;9554;2388;2390
"δενό 27";3811;252;4079;2702;10844;2711;3256
"δενό 28";3416;-231;4597;-2061;5721;1430;1592
"δενό 29";2377;95;4153;5041;11666;2916;3265
"δενό 30";2599;5892;3635;2636;14762;3690;3136
"ΘÒΞΓ";78236;64206;116718;43293;302453;NA;NA
"ΡΠΕΔΝΕΕ";2608;2140;3891;1443;NA;NA;NA
"ΜΕΔΘΐΝΐ";2471;2062;3860;1891;NA;NA;NA
