"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,56,181,39,159
2,58,81,177,110
3,38,100,40,143
4,47,72,116,135
5,31,56,82,187
6,94,84,108,86
7,71,85,140,89
8,44,84,78,60
9,151,125,67,84
10,82,70,27,122
11,103,57,86,119
12,71,159,161,85
13,111,106,79,136
14,135,152,139,190
15,73,72,36,129
16,110,105,60,79
17,29,150,101,64
18,41,106,53,179
19,88,97,168,146
20,124,140,117,144
21,35,113,165,99
22,84,133,151,188
23,123,59,58,102
24,29,185,131,61
25,141,169,61,134
26,57,96,149,148
27,59,158,68,119
28,126,102,46,51
29,64,88,52,178
30,53,107,131,107
