"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,118,61,162,98
2,123,97,80,115
3,63,109,143,193
4,167,147,91,88
5,105,57,173,154
6,141,56,89,196
7,170,194,162,188
8,134,125,55,65
9,159,170,148,96
10,128,169,113,163
11,180,161,60,147
12,169,175,88,134
13,192,137,90,146
14,81,183,177,123
15,68,67,110,194
16,189,161,102,154
17,78,175,195,197
18,92,109,124,152
19,171,99,58,98
20,64,145,120,161
21,181,100,89,103
22,161,143,98,174
23,146,100,167,153
24,158,179,105,163
25,84,66,104,182
26,104,91,66,59
27,151,95,80,101
28,67,100,79,149
29,155,192,106,93
30,75,95,179,136
