"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,0,157,49,91
2,100,75,144,129
3,181,136,141,76
4,20,73,79,118
5,77,67,99,123
6,108,129,56,72
7,28,57,76,114
8,51,124,102,171
9,54,139,49,142
10,140,90,99,103
11,62,65,191,143
12,20,128,88,92
13,20,191,58,115
14,163,126,93,53
15,169,157,108,55
16,19,95,147,83
17,52,59,85,132
18,149,86,161,104
19,45,98,85,78
20,131,83,94,89
21,70,59,121,62
22,19,72,171,133
23,115,104,52,124
24,47,94,53,179
25,130,119,192,156
26,31,88,75,156
27,86,142,141,193
28,75,181,184,118
29,77,52,137,93
30,73,144,153,79
