"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,113,158,50,191
2,124,76,145,130
3,194,137,152,123
4,70,74,80,179
5,158,68,161,158
6,174,131,57,73
7,188,174,90,153
8,125,143,103,172
9,55,189,50,143
10,141,91,144,196
11,89,182,192,144
12,154,129,89,93
13,84,199,59,148
14,174,196,120,54
15,187,158,109,56
16,67,107,179,84
17,198,91,88,133
18,165,102,162,106
19,151,99,86,79
20,146,111,158,193
21,94,60,130,63
22,65,74,172,134
23,116,199,53,125
24,101,116,54,188
25,196,197,199,157
26,57,89,76,168
27,174,143,174,198
28,110,182,185,146
29,110,71,138,94
30,75,146,154,139
