"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,167,87,158,192
2,100,198,159,187
3,189,155,156,145
4,59,195,144,120
5,195,51,112,64
6,181,183,190,108
7,79,117,174,94
8,182,144,59,167
9,152,119,133,198
10,174,77,103,130
11,67,143,195,125
12,142,148,144,106
13,121,146,97,52
14,109,187,151,95
15,199,64,166,68
16,95,98,89,129
17,167,147,51,97
18,96,142,50,147
19,87,101,90,55
20,187,198,157,102
21,57,146,87,104
22,145,127,96,106
23,120,105,114,156
24,86,145,127,150
25,197,79,134,190
26,124,58,161,84
27,172,94,142,78
28,176,165,74,157
29,55,192,118,166
30,150,161,159,126
