"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,172,158,170,93
2,97,149,99,135
3,87,134,155,197
4,141,188,184,140
5,157,170,190,128
6,89,109,99,138
7,51,128,92,187
8,73,155,74,88
9,165,156,149,122
10,177,156,75,126
11,61,56,54,131
12,115,177,145,58
13,91,189,72,165
14,95,129,73,54
15,55,137,164,52
16,130,185,144,164
17,176,173,85,171
18,126,188,168,104
19,192,154,74,161
20,111,78,88,165
21,63,180,51,179
22,139,137,67,132
23,95,61,75,56
24,93,62,64,158
25,89,157,170,115
26,189,121,56,99
27,172,56,86,61
28,184,90,65,101
29,124,194,168,56
30,91,71,165,51
