"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,136,72,186,156
2,152,200,198,77
3,172,95,184,110
4,87,92,86,108
5,92,166,70,175
6,173,77,80,56
7,105,112,76,53
8,175,116,114,175
9,73,129,128,85
10,93,113,64,186
11,195,133,200,98
12,54,103,64,195
13,187,100,130,71
14,161,92,83,173
15,61,193,161,151
16,109,93,76,169
17,109,128,187,125
18,146,78,64,163
19,133,62,59,113
20,95,191,50,134
21,120,128,56,159
22,195,179,58,99
23,55,148,142,137
24,63,61,190,157
25,91,147,133,65
26,147,114,140,160
27,73,152,198,86
28,110,197,81,131
29,179,99,178,141
30,172,83,66,123
