"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,123,71,180,97
2,125,188,197,66
3,1,94,148,109
4,86,0,85,62
5,91,122,69,174
6,172,76,79,55
7,104,111,75,52
8,174,115,113,174
9,73,128,118,84
10,92,112,63,166
11,182,107,115,93
12,53,102,63,167
13,186,99,129,70
14,160,91,82,126
15,60,179,131,150
16,108,92,75,122
17,108,127,186,91
18,145,77,63,162
19,120,61,58,42
20,94,190,49,71
21,119,127,55,71
22,194,178,57,97
23,54,147,141,136
24,62,60,146,48
25,90,145,132,64
26,146,113,139,134
27,72,151,197,85
28,109,155,0,130
29,178,96,176,82
30,171,82,65,122
