"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,88,148,59,99
2,53,196,165,120
3,45,184,40,116
4,184,96,120,0
5,65,66,82,62
6,45,128,182,53
7,192,119,39,125
8,64,44,96,68
9,33,42,71,126
10,78,99,178,138
11,120,59,62,175
12,0,66,55,116
13,67,57,147,70
14,130,77,44,155
15,129,94,45,138
16,44,54,73,71
17,92,90,45,75
18,44,72,50,145
19,68,109,109,76
20,73,115,121,53
21,63,116,39,172
22,40,104,116,122
23,162,124,62,108
24,166,0,51,92
25,56,115,147,95
26,64,66,45,169
27,65,76,53,188
28,133,171,106,58
29,120,97,63,117
30,95,54,48,58
