"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,166,85,157,31
2,99,168,144,101
3,188,154,136,123
4,58,194,67,103
5,194,50,91,33
6,180,182,145,107
7,78,116,85,94
8,158,87,58,91
9,151,118,132,36
10,166,76,95,99
11,66,128,103,124
12,141,127,113,96
13,101,145,96,51
14,109,186,150,30
15,117,63,98,40
16,94,90,68,128
17,107,104,50,60
18,86,141,49,146
19,86,100,89,54
20,186,100,156,1
21,56,145,86,103
22,94,116,96,26
23,119,96,113,84
24,85,135,126,73
25,196,78,133,149
26,123,57,141,47
27,171,89,90,38
28,175,117,73,93
29,54,134,117,165
30,143,113,126,114
