"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,158,136,63,141
2,174,143,131,161
3,134,121,109,92
4,115,176,94,50
5,65,26,77,108
6,88,26,94,159
7,102,14,107,129
8,71,61,111,95
9,115,63,93,55
10,78,124,77,160
11,114,44,59,57
12,163,13,156,184
13,168,95,131,68
14,122,92,150,53
15,104,125,134,118
16,136,152,186,135
17,118,32,74,59
18,162,18,91,176
19,163,52,99,154
20,115,177,175,96
21,157,98,61,164
22,145,78,104,133
23,87,99,121,121
24,197,154,96,140
25,121,112,155,94
26,123,169,96,182
27,118,14,84,0
28,73,50,85,1
29,161,73,83,117
30,121,73,154,114
