"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,57,182,60,160
2,59,135,178,111
3,93,101,93,175
4,187,73,199,139
5,135,57,83,188
6,176,85,109,87
7,72,86,186,90
8,185,150,110,61
9,178,164,68,85
10,91,71,98,163
11,152,58,182,120
12,157,160,161,86
13,112,148,95,137
14,150,170,140,191
15,143,180,153,141
16,111,106,61,80
17,149,151,189,65
18,129,107,83,180
19,122,98,196,147
20,132,141,167,192
21,97,114,166,100
22,181,134,192,189
23,138,60,87,195
24,52,191,171,62
25,172,170,167,198
26,75,97,170,149
27,200,159,69,120
28,127,114,50,52
29,65,89,121,179
30,59,108,151,108
