"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,86,164,90,33
2,59,61,70,145
3,190,144,80,89
4,160,191,174,42
5,177,127,155,66
6,139,137,109,78
7,144,123,86,29
8,169,75,96,40
9,133,108,69,124
10,129,107,89,55
11,118,66,66,113
12,97,176,46,94
13,166,128,80,55
14,166,105,80,113
15,63,139,55,145
16,79,74,55,77
17,125,51,195,46
18,74,160,135,54
19,86,154,51,150
20,161,92,1,67
21,105,103,68,83
22,73,89,120,83
23,123,166,35,1
24,161,76,63,37
25,89,175,127,77
26,80,120,93,40
27,88,88,46,111
28,162,139,130,99
29,82,135,126,45
30,121,84,48,88
