"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,102,165,96,178
2,60,62,125,146
3,191,191,102,112
4,161,197,192,95
5,177,194,175,172
6,140,173,123,79
7,145,124,111,159
8,170,76,161,57
9,167,109,75,125
10,130,114,91,56
11,186,67,73,114
12,175,177,84,156
13,167,132,120,56
14,191,106,132,154
15,64,140,111,165
16,80,75,61,125
17,128,52,195,54
18,75,171,191,55
19,87,155,159,184
20,162,93,56,68
21,106,151,93,171
22,74,90,151,155
23,124,167,137,91
24,162,77,100,181
25,90,176,131,78
26,80,121,153,70
27,89,89,77,112
28,163,140,140,113
29,83,198,180,117
30,148,85,122,110
